zip_code,year,median_income,poverty_rate,unemployment_rate,hs_grad_rate,uninsured_rate,snap_rate,median_gross_rent,no_vehicle_pct,pct_hispanic,pct_white,pct_black
08102,2019,21138,47.2,14.1,9.9,12.0,1044,,,,,
08103,2019,27057,39.9,14.3,11.8,11.1,1777,,,,,
08104,2019,23617,37.0,17.4,6.5,8.1,3303,,,,,
08105,2019,33353,32.2,9.5,11.0,14.7,3284,,,,,
08106,2019,82295,4.2,4.5,35.0,4.6,215,,,,,
08102,2021,27442,45.3,11.4,15.1,10.5,1419,998.0,34.8,63.4,11.0,22.4
08103,2021,26007,36.9,17.2,10.3,8.9,1694,1040.0,37.8,32.1,4.0,61.5
08104,2021,27399,36.0,17.2,10.0,7.9,3442,911.0,33.8,40.0,3.7,52.7
08105,2021,36274,28.3,11.7,7.6,13.9,3425,1106.0,29.7,68.0,2.6,25.5
08106,2021,88429,2.6,3.8,39.2,4.6,176,982.0,7.3,2.3,92.4,2.9
08102,2022,30679,40.4,13.1,15.0,9.6,1475,1062.0,35.3,53.8,16.8,36.7
08103,2022,34434,30.7,18.3,9.3,11.6,1599,1119.0,37.7,26.1,8.0,64.4
08104,2022,32637,35.2,20.1,9.8,6.9,3730,1044.0,35.0,27.9,13.6,61.0
08105,2022,41742,26.4,9.4,7.2,16.7,3306,1146.0,28.3,57.9,25.8,30.6
08106,2022,93670,3.5,5.6,40.4,4.7,257,1046.0,7.3,1.9,1.4,96.3
